spkid,full_name,diameter,name,velocity,energy,per,moid,pdes,prefix,neo,pha,sats,H,G,M1,M2,K1,K2,PC,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per_y,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A1_sigma,A2,A2_sigma,A3,A3_sigma,DT,DT_sigma
20464885,464885 (2005 LS3),0.384,,24.399426650830897,2.647541625040823e+19,664,0.176,464885,,Y,N,0,19.47,,,,,,,,0.190,,,,,,,,,0.10,59,2461000.5,61000,2025-11-21.0,J2000,0.2677,1.49,1.091,34.90,85.21,123.61,124.49,1.89,0.5421,2460770.87,2025-04-05.3,1.82,68.7,3.3,4.34,4.1e-08,2.0e-09,6.1e-08,1.1e-05,6.9e-06,1.8e-05,1.4e-05,2.5e-09,1.1e-09,2.6e-05,1.3e-06,AMO,Otto Matic,11317,1994-07-10,2025-07-04,214,,,0,.58486,,,,,,,,,
20523664,523664 (2012 OD1),0.346,,32.715072283929615,3.4818811762117145e+19,276,0.0391,523664,,Y,Y,0,18.52,,,,,,,,0.536,12.63,,,,,,,,0.09,170,2461000.5,61000,2025-11-21.0,J2000,0.5029,0.8288,0.412,42.26,303.72,224.36,353.67,1.25,1.306,2461005.35,2025-11-25.8,0.754,15.2,3.92,6.79,7.8e-08,2.0e-09,6.4e-08,5.2e-06,1.2e-06,1.4e-06,9.2e-06,3.0e-09,4.7e-09,7.1e-06,9.9e-07,ATE,Otto Matic,4441,2012-07-19,2024-09-15,1136,5,0,0,.30582,,,,,,,,,
20505093,505093 (2011 VQ5),0.556,,20.745970667691065,5.810075489463937e+19,1.08e+03,0.222,505093,,Y,N,0,20.20,,,,,,,,0.052,,,,,,,,,0.24,111,2461000.5,61000,2025-11-21.0,J2000,0.4368,2.061,1.161,7.19,30.26,89.60,228.51,2.96,0.333,2461395.38,2026-12-20.8,2.96,86.3,2.2,3.65,3.1e-08,7.7e-09,6.0e-08,2.8e-06,2.1e-05,2.5e-05,4.2e-06,1.1e-08,1.9e-09,1.3e-05,6.1e-06,AMO,Otto Matic,5696,2008-10-03,2024-05-08,487,,,0,.50054,,,,,,,,,
20003691,  3691 Bede (1982 FT),4.3,Bede,22.36124333675124,3.122389971648551e+22,863,0.35,3691,,Y,N,0,14.93,,,,,,,,0.515,226.8,,,,,Xc,,,,JPL 766,2461000.5,61000,2025-11-21.0,J2000,0.2845,1.774,1.270,20.35,348.69,235.06,151.90,2.28,0.4171,2460636.28,2024-11-21.7,2.36,136,2.83,3.98,9.1e-10,3.4e-10,1.6e-09,4.6e-08,1.1e-07,2.2e-07,4.6e-07,4.4e-10,1.2e-10,1.0e-06,2.5e-07,AMO,Otto Matic,18380,1975-06-09,2025-10-04,8120,,,0,.31403,,,,,,,,,
20007341,  7341 (1991 VK),0.982,,21.944613815907726,3.581625964010263e+20,913,0.0481,7341,,Y,Y,0,16.96,,,,,,,,0.235,4.2096,,,,,Sq,,,0.32,446,2461000.5,61000,2025-11-21.0,J2000,0.5061,1.842,0.910,5.41,294.72,173.51,195.60,2.77,0.3944,2461417.37,2027-01-11.8,2.5,18.7,2.39,3.85,2.1e-09,4.4e-10,3.8e-09,1.4e-06,1.3e-05,1.3e-05,7.3e-07,6.6e-10,1.4e-10,1.9e-06,3.3e-07,APO,Giorgini,11636,1991-09-12,2023-07-22,2375,10,3,0,.32853,,,,-5.1e-15,1.8e-15,,,,
20387746,387746 (2003 MH4),0.366,,21.257520453126475,1.7400364614597507e+19,1e+03,0.00218,387746,,Y,Y,0,20.13,,,,,,,,0.132,,,,,,,,,0.01,129,2461000.5,61000,2025-11-21.0,J2000,0.5131,1.963,0.956,3.91,259.48,323.53,70.73,2.97,0.3584,2460803.16,2025-05-07.6,2.75,0.847,2.02,3.7,1.1e-08,5.7e-09,2.0e-08,2.8e-06,2.5e-05,2.5e-05,3.7e-06,8.7e-09,1.6e-09,1.0e-05,4.4e-06,APO,Otto Matic,8250,2003-01-26,2025-08-28,576,,,0,.345,,,,-5.2e-14,1.4e-14,,,,
20088263, 88263 (2001 KQ1),5.748,,20.567122755694182,6.309388067579664e+22,1.11e+03,0.375,88263,,Y,N,0,15.69,,,,,,,,0.037,13.17,,,,,,,,0.03,431,2461000.5,61000,2025-11-21.0,J2000,0.4326,2.097,1.190,38.79,232.82,241.58,89.70,3.00,0.3246,2460724.18,2025-02-17.6,3.04,146,2.86,3.37,1.2e-09,2.1e-10,2.6e-09,1.6e-07,1.5e-07,2.6e-07,2.4e-07,3.0e-10,4.9e-11,6.9e-07,1.7e-07,AMO,Otto Matic,9888,1998-05-05,2025-05-31,2518,,,0,.36969,,,,,,,,,
20055532, 55532 (2001 WG2),1.306,,22.230054577801784,8.645706138593867e+20,878,0.339,55532,,Y,N,0,16.13,,,,,,,,0.376,46.08,,,,,Sk,,,0.04,JPL 168,2461000.5,61000,2025-11-21.0,J2000,0.6952,1.795,0.547,38.54,81.41,132.37,298.34,3.04,0.4099,2461150.92,2026-04-20.4,2.4,132,2.49,3.56,1.6e-09,8.5e-10,2.9e-09,1.8e-07,2.6e-07,2.1e-07,9.0e-07,1.4e-09,2.9e-10,2.3e-06,6.2e-07,APO,Otto Matic,26223,1953-12-07,2025-09-23,948,,,0,.623,,,,,,,,,
20144901,144901 (2004 WG1),2.24,,23.256846764290657,4.774584668267324e+21,767,0.0562,144901,,Y,N,0,17.55,,,,,,,,0.038,8.06,,,,,,,,0.04,139,2461000.5,61000,2025-11-21.0,J2000,0.5219,1.64,0.784,13.04,41.98,232.49,98.81,2.50,0.4693,2460789.97,2025-04-24.4,2.1,21.9,2.7,4.11,2.8e-08,4.4e-09,4.6e-08,7.0e-06,1.2e-05,1.4e-05,1.6e-05,6.6e-09,1.9e-09,3.3e-05,3.1e-06,APO,Otto Matic,7653,2004-09-22,2025-09-05,650,1,3,0,.49675,,,,,,,,,
20004341,  4341 Poseidon (1987 KF),3.177,Poseidon,21.992423488735025,1.218113356816727e+22,907,0.194,4341,,Y,N,0,16.08,,,,,,,,0.054,6.262,,,,,O,,,0.65,185,2461000.5,61000,2025-11-21.0,J2000,0.6801,1.834,0.587,11.84,108.02,15.83,202.70,3.08,0.3968,2461396.97,2026-12-22.4,2.48,75.5,2.04,3.69,1.5e-09,2.4e-09,2.5e-09,3.6e-07,7.9e-07,6.1e-07,2.6e-06,4.1e-09,7.9e-10,7.3e-06,1.8e-06,APO,Otto Matic,13943,1987-05-29,2025-07-31,926,,,0,.55268,,,,,,,,,
20276703,276703 (2004 BL11),0.521,,26.533068781957983,7.81948258882057e+19,517,0.131,276703,,Y,N,0,19.30,,,,,,,,0.124,,,,,,,,,0.19,78,2461000.5,61000,2025-11-21.0,J2000,0.7500,1.26,0.315,9.82,142.41,176.96,252.83,2.21,0.6968,2461154.30,2026-04-23.7,1.41,51.1,3.13,4.77,3.2e-08,5.3e-09,4.0e-08,6.0e-06,2.2e-05,2.4e-05,1.9e-05,9.3e-09,4.4e-09,2.8e-05,3.3e-06,APO,Otto Matic,7688,2004-01-18,2025-02-04,286,,,0,.54169,,,,,,,,,
20019764, 19764 (2000 NF5),1.572,,19.930968091996984,1.2120046727941186e+21,1.22e+03,0.222,19764,,Y,N,0,16.11,,,,,,,,0.342,59.263,,,,,,,,0.07,374,2461000.5,61000,2025-11-21.0,J2000,0.4447,2.233,1.240,1.33,281.38,9.87,224.50,3.23,0.2955,2461459.09,2027-02-22.5,3.34,86.4,1.98,3.5,2.5e-08,3.4e-09,5.6e-08,2.2e-06,1.4e-04,1.4e-04,4.0e-06,4.9e-09,6.7e-10,1.4e-05,2.8e-06,AMO,Otto Matic,12564,1990-08-28,2025-01-20,3170,,,0,.33571,,,,,,,,,
20459683,459683 (2013 MY5),0.269,,23.102407800146583,8.159456148814751e+18,783,0.0322,459683,,Y,Y,0,19.79,,,,,,,,0.322,,,,,,,,,0.07,59,2461000.5,61000,2025-11-21.0,J2000,0.4530,1.662,0.909,3.00,102.88,279.03,245.90,2.41,0.46,2461248.54,2026-07-27.0,2.14,12.5,3.04,4.14,5.2e-08,2.3e-08,8.1e-08,1.1e-05,6.9e-05,7.0e-05,3.7e-05,3.3e-08,9.5e-09,8.6e-05,1.6e-05,APO,Otto Matic,4295,2013-06-18,2025-03-22,183,,,0,.4604,,,,,,,,,
20002212,  2212 Hephaistos (1978 SB),5.7,Hephaistos,20.227542226900976,5.951147046293929e+22,1.17e+03,0.112,2212,,Y,N,0,13.50,,,,,,,,0.163,48,,0.766,0.397,,,SG,,,JPL 709,2461000.5,61000,2025-11-21.0,J2000,0.8347,2.168,0.358,11.20,26.57,210.46,308.24,3.98,0.3088,2461168.08,2026-05-07.5,3.19,43.6,1.15,3.1,1.1e-09,1.4e-09,2.4e-09,7.7e-08,3.8e-07,3.6e-07,6.9e-07,2.6e-09,3.1e-10,2.4e-06,1.2e-06,APO,Otto Matic,17173,1978-09-27,2025-10-03,4453,,,0,.45537,,,,,,,,,
20454094,454094 (2013 BZ45),0.167,,29.562403082043993,3.196824267760157e+18,374,0.0242,454094,,Y,Y,0,21.87,,,,,,,,0.110,0.4831,,,,,,,,0.05,49,2461000.5,61000,2025-11-21.0,J2000,0.1447,1.015,0.868,11.85,131.05,98.78,121.72,1.16,0.9639,2460874.22,2025-07-17.7,1.02,9.4,3.84,5.98,7.8e-08,5.6e-09,7.4e-08,6.9e-06,4.8e-06,1.1e-05,2.4e-05,6.4e-09,8.0e-09,2.4e-05,3.1e-06,APO,Otto Matic,2411,2013-01-19,2019-08-27,190,5,1,0,.39537,,,,,,,,,
20053430, 53430 (1999 TY16),1.233,,20.55732188653832,6.221744655256187e+20,1.11e+03,0.291,53430,,Y,N,0,16.66,,,,,,,,0.266,9.5819,,,,,,,,0.32,188,2461000.5,61000,2025-11-21.0,J2000,0.4032,2.099,1.253,60.41,241.92,156.97,219.87,2.95,0.3241,2461432.87,2027-01-27.3,3.04,113,2.55,3.05,5.2e-08,5.2e-09,1.1e-07,6.7e-06,5.0e-06,1.6e-05,1.0e-05,7.3e-09,1.2e-09,3.3e-05,4.1e-06,AMO,Otto Matic,8861,1999-10-13,2024-01-16,961,,,0,.42299,,,,,,,,,
